Lde,Dde,P15,P16,P17,P18,P19,P20,P1,P22,P23,Source-Prop-Ent
Bridging the Expertise of Advocates and Academics to Identify Reproductive Justice Learning Outcomes,Publikation,"Loder CM, Minadeo L, Jimenez L, Luna Z, Ross L, Rosenbloom N, Stalburg CM, Harris LH",Teach Learn Med,Jan-Mar;32(1):11-22,+2020-01-01T00:00:00Z/9,10.1080/10401334.2019.1631168,Reproductive justice; advocacy; curriculum development; health disparities,https://pubmed.ncbi.nlm.nih.gov/31293184/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
Sex definitions and gender practices. An update from Australia,Publikation,Cregan K,Camb Q Healthc Ethics,Jul;23(3):319-25,+2014-01-01T00:00:00Z/9,10.1017/S0963180113000923,,https://pubmed.ncbi.nlm.nih.gov/24867337/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
THE TREATMENT OF INTERSEX AND THE PROBLEM OF DELAY: THE AUSTRALIAN SENATE INQUIRY INTO INTERSEX SURGERY AND CONFLICTING HUMAN RIGHTS FOR CHILDREN,Publikation,O'Connor M,J Law Med.,Mar;23(3):531-43,+2016-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/27323632/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
The human rights of intersex people: addressing harmful practices and rhetoric of change,Publikation,Carpenter M,Reprod Health Matters,May;24(47):74-84,+2016-01-01T00:00:00Z/9,10.1016/j.rhm.2016.06.003,disorders of sex development; harmful practices; hermeneutical injustice; human rights; intersex,https://pubmed.ncbi.nlm.nih.gov/27578341/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
Disorders of Sexual Differentiation: Ethical Considerations Surrounding Early Cosmetic Genital Surgery,Publikation,Anderson S,Pediatr Nurs,Jul-Aug;41(4):176-86,+2015-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/26470466/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
Queering reproductive access: reproductive justice in assisted reproductive technologies,Publikation,Tam MW,Reprod Health,Aug 2;18(1):164,+2021-01-01T00:00:00Z/9,10.1186/s12978-021-01214-8,,https://pubmed.ncbi.nlm.nih.gov/34340704/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
Vasectomy,Publikation,"Edwards IS, Farlow JL",Med J Aust,Jan 12;1(1):39,+1980-01-01T00:00:00Z/9,10.5694/j.1326-5377.1980.tb134598.x,,https://pubmed.ncbi.nlm.nih.gov/7360080/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Microrecanalization after vasectomy in man,Publikation,"Freund MJ, Weidmann JE, Goldstein M, Marmar J, Santulli R, Oliveira N",J Androl,Mar-Apr;10(2):120-32,+1989-01-01T00:00:00Z/9,10.1002/j.1939-4640.1989.tb00073.x,,https://pubmed.ncbi.nlm.nih.gov/2715100/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Fatherhood without apparent spermatozoa after vasectomy,Publikation,"Smith JC, Cranston D, O'Brien T, Guillebaud J, Hindmarsh J, Turner AG",Lancet,Jul 2;344(8914):30,+1994-01-01T00:00:00Z/9,10.1016/s0140-6736(94)91052-9,,https://pubmed.ncbi.nlm.nih.gov/7912302/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Evaluation of one-hundred open-ended vasectomies,Publikation,"Temmerman M, Cammu H, Devroey P, Amy JJ",Contraception,Jun;33(6):529-32,+1986-01-01T00:00:00Z/9,10.1016/0010-7824(86)90040-5,,https://pubmed.ncbi.nlm.nih.gov/3769480/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Paternity after vasectomy with two previous semen analyses without spermatozoa,Publikation,"Lucon M, Lucon AM, Pasqualoto FF, Srougi M",Sao Paulo Med J,Mar 1;125(2):122-3,+2007-01-01T00:00:00Z/9,10.1590/s1516-31802007000200011,,https://pubmed.ncbi.nlm.nih.gov/17625712/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Vasectomy: Current information,Publikation,"Kreutzig-Langenfeld T, Lellig E, Hinz P, Zilg F",Urologe A,Apr;60(4):523-532,+2021-01-01T00:00:00Z/9,10.1007/s00120-021-01494-9,Contraception; Contraception without side effects; Fertility; Hormone-free contraception; Men; No-scalpel vasectomy; Sterilization,https://pubmed.ncbi.nlm.nih.gov/33738559/,Sterilisation des Mannes (Vasektomie),Geschlecht,"P3"
Vasectomy occlusion techniques for male sterilization,Publikation,"Cook LA, Van Vliet HA, Lopez LM, Pun A, Gallo MF",Cochrane Database Syst Rev,Mar 30;2014(3):CD003991,+2014-01-01T00:00:00Z/9,10.1002/14651858.CD003991.pub4,,https://pubmed.ncbi.nlm.nih.gov/24683020/,Sterilisation des Mannes (Vasektomie),Material des Verhütungsmittels,P5
"Outpatient Vasectomy: Safe, Reliable, and Cost-effective",Publikation,"Zeitler M, Rayala B",Prim Care,Dec;48(4):613-625,+2021-01-01T00:00:00Z/9,10.1016/j.pop.2021.08.001,Contraception; Outpatient; Safety; Vasectomy,https://pubmed.ncbi.nlm.nih.gov/34752273/,Sterilisation des Mannes (Vasektomie),Material des Verhütungsmittels,P5
Vasectomy reversal,Publikation,Practice Committee of American Society for Reproductive Medicine,Fertil Steril,Nov;90(5 Suppl):S78-82,+2008-01-01T00:00:00Z/9,10.1016/j.fertnstert.2008.08.097,,https://pubmed.ncbi.nlm.nih.gov/19007653/,Sterilisation des Mannes (Vasektomie),Material des Verhütungsmittels,P5
Current status of vasectomy reversal,Publikation,"Schwarzer JU, Steinfatt H",Nat Rev Urol,Apr;10(4):195-205,+2013-01-01T00:00:00Z/9,10.1038/nrurol.2013.14,,https://pubmed.ncbi.nlm.nih.gov/23399733/,Sterilisation des Mannes (Vasektomie),Material des Verhütungsmittels,P5
Is there a place for tubal ligation in modern contraception?,Publikation,"von Mering R, Merki GS, Keller P",Gynakol Geburtshilfliche Rundsch,Jan;43(1):25-30,+2003-01-01T00:00:00Z/9,10.1159/000067166,,https://pubmed.ncbi.nlm.nih.gov/12499754/,Sterilisation der Frau (Tubenligatur),Geschlecht,"P3"
FSFI score and timing of tubal ligation in patients: preliminary results of an online survey,Publikation,"Walter S, Upadhjay M, Beslic J, Pucher M, Herbel R, Stavroula S, Dayan D, Janni W, Ebner F",Arch Gynecol Obstet,Sep;306(3):795-800,+2022-01-01T00:00:00Z/9,10.1007/s00404-022-06547-8,FSFI; Regretting; Sterilisation; Tubal ligation,https://pubmed.ncbi.nlm.nih.gov/35397718/,Sterilisation der Frau (Tubenligatur),Geschlecht,"P3"
